,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Soyo,100,AO,1666381795,86,-6.1349,12.3689,77.02,8.86
1,Riyadh,0,SA,1666381576,14,24.6877,46.7219,75.34,9.53
2,Hithadhoo,100,MV,1666381797,78,-0.6,73.0833,80.82,10.38
3,Atuona,42,PF,1666381799,63,-9.8,-139.0333,77.09,16.84
4,Longyearbyen,20,SJ,1666381800,63,78.2186,15.6401,24.64,17.27
5,Seredka,100,RU,1666381802,86,58.1584,28.1858,40.75,3.91
6,Yellowknife,75,CA,1666381803,74,62.456,-114.3525,30.72,8.05
7,Tasiilaq,100,GL,1666381805,96,65.6145,-37.6368,32.2,3.51
8,Woodward,0,US,1666381806,16,36.4337,-99.3904,90.97,14.97
9,Saskylakh,100,RU,1666381808,95,71.9167,114.0833,11.95,5.03
10,Tanete,85,ID,1666381809,94,-3.9443,119.7848,75.47,0.94
11,Bambous Virieux,75,MU,1666381811,78,-20.3428,57.7575,73.65,6.91
12,Port Elizabeth,75,ZA,1666381812,97,-33.918,25.5701,63.1,16.11
13,Egvekinot,100,RU,1666381814,95,66.3167,-179.1667,24.49,5.88
14,Fort Payne,0,US,1666381815,36,34.4442,-85.7197,71.42,10.36
15,Avarua,75,CK,1666381816,83,-21.2078,-159.775,78.85,17.27
16,Castro,67,BR,1666381761,90,-24.7911,-50.0119,65.39,9.69
17,Hilo,40,US,1666381524,70,19.7297,-155.09,86.29,7.0
18,Nikolskoye,100,RU,1666381821,93,59.7035,30.7861,42.69,3.27
19,Provideniya,81,RU,1666381822,93,64.3833,-173.3,34.32,3.76
20,Mataura,21,NZ,1666381823,63,-46.1927,168.8643,44.82,2.55
21,Ushtobe,96,KZ,1666381825,30,45.2514,77.9838,52.97,5.59
22,Upata,100,VE,1666381826,82,8.0086,-62.3989,78.22,4.74
23,Vardø,100,NO,1666381828,96,70.3705,31.1107,33.22,19.95
24,Busselton,99,AU,1666381829,79,-33.65,115.3333,54.28,7.83
25,Tabou,55,CI,1666381830,86,4.423,-7.3528,77.09,5.32
26,Laguna,0,US,1666381832,43,38.421,-121.4238,86.31,8.05
27,Sitka,75,US,1666381833,81,57.0531,-135.33,48.09,5.75
28,Hobart,75,AU,1666381589,94,-42.8794,147.3294,62.46,4.61
